frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21,x_22,y_22,z_22,x_23,y_23,z_23,x_24,y_24,z_24,x_25,y_25,z_25,x_26,y_26,z_26,x_27,y_27,z_27,x_28,y_28,z_28,x_29,y_29,z_29,x_30,y_30,z_30,x_31,y_31,z_31,x_32,y_32,z_32
0,0.47336283326148987,0.5880895256996155,-0.6640100479125977,0.5008403658866882,0.51140296459198,-0.6821579933166504,0.5190162062644958,0.5085023641586304,-0.6819129586219788,0.5392119288444519,0.5059528350830078,-0.68248450756073,0.4698733687400818,0.5152944326400757,-0.6094558238983154,0.46377506852149963,0.5142477750778198,-0.6086870431900024,0.4580816626548767,0.5136995315551758,-0.6090869307518005,0.6068710684776306,0.5152015686035156,-0.5116460919380188,0.49177712202072144,0.5199037790298462,-0.16363120079040527,0.5202363133430481,0.6462818384170532,-0.5914040207862854,0.47125929594039917,0.6483461856842041,-0.49026569724082947,0.8175336122512817,0.8346187472343445,-0.35982435941696167,0.40231388807296753,0.8222600221633911,-0.07662232220172882,0.8754053115844727,1.289896011352539,-0.39371079206466675,0.2771628201007843,1.0072362422943115,-0.6197975873947144,0.8709254264831543,1.617667317390442,-0.3969428241252899,0.1738988757133484,0.8435243964195251,-1.68222975730896,0.8967669606208801,1.7205557823181152,-0.42607831954956055,0.07964015007019043,0.7250226736068726,-1.8625074625015259,0.8672921061515808,1.7123668193817139,-0.47641199827194214,0.10894745588302612,0.6809513568878174,-1.869646430015564,0.8424218893051147,1.679585337638855,-0.4230404794216156,0.15831419825553894,0.7436766028404236,-1.7266852855682373,0.7400012612342834,1.6263136863708496,-0.11285890638828278,0.4381207823753357,1.6169484853744507,0.11651549488306046,0.7253776788711548,2.32772159576416,-0.21115033328533173,0.4495334029197693,2.306622266769409,0.0431489534676075,0.7347641587257385,2.9734084606170654,0.2510543167591095,0.462311327457428,2.9678895473480225,0.36035051941871643,0.7478646636009216,3.05517315864563,0.26136255264282227,0.460515558719635,3.0520241260528564,0.37790247797966003,0.6878232359886169,3.1552512645721436,-0.35781338810920715,0.4824751317501068,3.1582765579223633,-0.297444224357605
1,0.5819141268730164,0.5580881834030151,-1.0989325046539307,0.6135215163230896,0.49012115597724915,-1.0273351669311523,0.6292575001716614,0.491020143032074,-1.0275404453277588,0.6448496580123901,0.492269366979599,-1.027768850326538,0.5585135817527771,0.49087831377983093,-1.0290170907974243,0.539837658405304,0.4920528531074524,-1.0283868312835693,0.5255578756332397,0.49364587664604187,-1.0288549661636353,0.6737450361251831,0.5105497241020203,-0.5453035235404968,0.5156193971633911,0.5060616135597229,-0.5339749455451965,0.614206075668335,0.6221814751625061,-0.9168000221252441,0.5498028993606567,0.630395770072937,-0.9151568412780762,0.8179589509963989,0.8388927578926086,-0.25351962447166443,0.40226608514785767,0.8237771987915039,-0.31105837225914,0.8730210065841675,1.280338168144226,-0.1589987874031067,0.29681333899497986,1.2032160758972168,-0.5314325094223022,0.8660249710083008,1.6030491590499878,-0.47903043031692505,0.259581983089447,1.4063891172409058,-1.4240696430206299,0.8876465559005737,1.711332082748413,-0.5837176442146301,0.221823051571846,1.4875109195709229,-1.6286563873291016,0.8571676015853882,1.702624797821045,-0.6822010278701782,0.2579405605792999,1.4637333154678345,-1.7183399200439453,0.8351152539253235,1.6626572608947754,-0.5380989909172058,0.28319400548934937,1.4334321022033691,-1.490936517715454,0.7389790415763855,1.6222128868103027,-0.07358192652463913,0.43815192580223083,1.6109315156936646,0.07829666137695312,0.7236919403076172,2.3053171634674072,-0.1594250500202179,0.4490460455417633,2.2900869846343994,-0.001523324055597186,0.7257787585258484,2.9261012077331543,0.42337626218795776,0.4565872251987457,2.919760227203369,0.35048192739486694,0.7341156005859375,3.017730236053467,0.43997660279273987,0.45367687940597534,3.0118749141693115,0.3627151548862457,0.6766864061355591,3.105583429336548,-0.25393226742744446,0.4800024926662445,3.1030430793762207,-0.3798406422138214
2,0.5938868522644043,0.5357913970947266,-1.0669981241226196,0.6264284253120422,0.4699324071407318,-0.9946468472480774,0.6429911255836487,0.472348153591156,-0.9947816729545593,0.6573893427848816,0.47595933079719543,-0.9950487017631531,0.5707756280899048,0.4712124764919281,-0.9944467544555664,0.5525497794151306,0.4740181565284729,-0.9937686920166016,0.5369568467140198,0.47716283798217773,-0.9941585659980774,0.6843553781509399,0.5032724738121033,-0.5372440814971924,0.5236630439758301,0.4960419833660126,-0.5025230646133423,0.6271600127220154,0.6025190949440002,-0.8921341896057129,0.5618987083435059,0.6121117472648621,-0.88810795545578,0.8185216784477234,0.8414697051048279,-0.21771922707557678,0.4021242558956146,0.8248693346977234,-0.31051596999168396,0.8723262548446655,1.2746514081954956,-0.11490440368652344,0.30349200963974,1.231255054473877,-0.5452834963798523,0.8659721612930298,1.5927486419677734,-0.47449594736099243,0.2650711238384247,1.4033602476119995,-1.4976110458374023,0.8872140645980835,1.7040303945541382,-0.5326792001724243,0.22297939658164978,1.4722964763641357,-1.6997530460357666,0.856548011302948,1.695448398590088,-0.6158788800239563,0.2599538266658783,1.4450099468231201,-1.7674729824066162,0.8350043296813965,1.6528195142745972,-0.5071345567703247,0.2868327498435974,1.420185923576355,-1.5611568689346313,0.738892138004303,1.6169642210006714,-0.06155575439333916,0.43815216422080994,1.606332540512085,0.06617023795843124,0.7236961722373962,2.2949883937835693,-0.12151002883911133,0.4490414559841156,2.2833964824676514,0.0011182513553649187,0.725816547870636,2.9113104343414307,0.46462398767471313,0.4565846025943756,2.906558036804199,0.354128360748291,0.7341548800468445,3.0040574073791504,0.47967761754989624,0.453266441822052,2.9979023933410645,0.36481839418411255,0.6770294308662415,3.089794874191284,-0.21459071338176727,0.48476308584213257,3.0927813053131104,-0.3755165934562683
3,0.5958940386772156,0.5276489853858948,-1.0756690502166748,0.6280674934387207,0.4603720009326935,-1.0010991096496582,0.6448491215705872,0.46286025643348694,-1.0012414455413818,0.6590155363082886,0.4670632481575012,-1.0014276504516602,0.5731087327003479,0.4617326855659485,-0.9997485876083374,0.5552533864974976,0.4649120569229126,-0.9990164041519165,0.5392463207244873,0.46855393052101135,-0.999274730682373,0.6860687732696533,0.49836549162864685,-0.5317411422729492,0.5255431532859802,0.49115878343582153,-0.4956830143928528,0.6301126480102539,0.593684196472168,-0.8974491357803345,0.5642692446708679,0.6042948365211487,-0.8934151530265808,0.8192626237869263,0.8417635560035706,-0.2148500233888626,0.40137821435928345,0.8249727487564087,-0.3062644302845001,0.8762733340263367,1.2664425373077393,-0.14547228813171387,0.30243462324142456,1.2195037603378296,-0.752217173576355,0.8715025782585144,1.5818973779678345,-0.45913681387901306,0.26046884059906006,1.2275311946868896,-1.95596182346344,0.8921314477920532,1.6938496828079224,-0.5308497548103333,0.22089652717113495,1.2312787771224976,-2.188326835632324,0.8585294485092163,1.6799736022949219,-0.6121383905410767,0.24982865154743195,1.1930103302001953,-2.2398366928100586,0.8378322720527649,1.6374738216400146,-0.5000626444816589,0.2782495319843292,1.1976054906845093,-2.0154995918273926,0.739609956741333,1.6130740642547607,-0.057706646621227264,0.4380607604980469,1.6035362482070923,0.0625259280204773,0.7257300615310669,2.2920281887054443,-0.13944871723651886,0.44936734437942505,2.2823755741119385,-0.00948789156973362,0.7281619310379028,2.9100639820098877,0.4120156764984131,0.45708054304122925,2.904555082321167,0.3309323787689209,0.7355401515960693,3.003246545791626,0.42354217171669006,0.4534461498260498,2.9944446086883545,0.33823415637016296,0.6816084980964661,3.0833425521850586,-0.22318796813488007,0.4880813956260681,3.0887598991394043,-0.4234488904476166
4,0.5902608633041382,0.5268841981887817,-1.0782567262649536,0.622451901435852,0.45812028646469116,-1.0104070901870728,0.6405852437019348,0.4601060152053833,-1.0107773542404175,0.6552063822746277,0.46395617723464966,-1.0110547542572021,0.5676537752151489,0.4603818356990814,-0.9997237324714661,0.5509072542190552,0.4636293947696686,-0.9990790486335754,0.5350611805915833,0.467445969581604,-0.9992769956588745,0.6837563514709473,0.49474844336509705,-0.5303192138671875,0.5252100229263306,0.49059391021728516,-0.4624391198158264,0.6278113722801208,0.5927287340164185,-0.8979108929634094,0.5615934729576111,0.6029256582260132,-0.8806812167167664,0.8237643241882324,0.839656412601471,-0.2435060292482376,0.40156039595603943,0.8270502090454102,-0.25434815883636475,0.9131498336791992,1.2228895425796509,-0.41001248359680176,0.30126672983169556,1.2040120363235474,-0.7645788192749023,0.8853011131286621,1.4636834859848022,-0.9448296427726746,0.2987363040447235,1.1592315435409546,-2.033214807510376,0.8981813192367554,1.5551353693008423,-1.0870057344436646,0.28016963601112366,1.1276026964187622,-2.280333995819092,0.8616403341293335,1.516295313835144,-1.146507978439331,0.2974299192428589,1.092359185218811,-2.312147855758667,0.8454176783561707,1.4859824180603027,-0.9922075271606445,0.32021623849868774,1.1178476810455322,-2.088136911392212,0.7488287687301636,1.6132341623306274,-0.06741593778133392,0.45170432329177856,1.605893611907959,0.07277698814868927,0.7449139356613159,2.293879508972168,-0.1641879379749298,0.4664286971092224,2.283658027648926,0.01044507883489132,0.7558165788650513,2.9157485961914062,0.38416147232055664,0.48801881074905396,2.908437490463257,0.3373154401779175,0.7658518552780151,3.0066709518432617,0.39575761556625366,0.4879592955112457,2.996245861053467,0.33935338258743286,0.7133201360702515,3.0860395431518555,-0.31186091899871826,0.5163699984550476,3.092067003250122,-0.39736247062683105
5,0.5820344090461731,0.5276550650596619,-1.1048071384429932,0.6149587035179138,0.458542138338089,-1.0500069856643677,0.6333650350570679,0.46068769693374634,-1.050184726715088,0.6489796042442322,0.46439531445503235,-1.050565242767334,0.5619895458221436,0.4614376723766327,-1.0245506763458252,0.5461306571960449,0.46448785066604614,-1.0238664150238037,0.531272828578949,0.4680697023868561,-1.0240941047668457,0.6796884536743164,0.4948754906654358,-0.5956824421882629,0.5269085764884949,0.49125540256500244,-0.4780162274837494,0.6217309236526489,0.5954830646514893,-0.9353433847427368,0.5558697581291199,0.6042010188102722,-0.9000948667526245,0.8250278234481812,0.8409475684165955,-0.3040305972099304,0.4096336364746094,0.8183851838111877,-0.2353418618440628,0.9113847613334656,1.242978811264038,-0.4333573281764984,0.3247588276863098,1.2078248262405396,-0.7562180757522583,0.884601891040802,1.49772047996521,-0.9007421731948853,0.3379317820072174,1.13389253616333,-1.8851814270019531,0.8976030349731445,1.5945465564727783,-1.0299901962280273,0.32037708163261414,1.1066384315490723,-2.112241506576538,0.8601526021957397,1.56584894657135,-1.0967068672180176,0.33555734157562256,1.066342830657959,-2.1431498527526855,0.8443511724472046,1.5324146747589111,-0.9485058784484863,0.35816216468811035,1.0860354900360107,-1.938030481338501,0.7487145662307739,1.5956532955169678,-0.07270531356334686,0.45348721742630005,1.5706467628479004,0.07848452031612396,0.733155369758606,2.2765276432037354,-0.201445534825325,0.4591749608516693,2.2438247203826904,0.011981738731265068,0.7213478088378906,2.8972039222717285,0.37061476707458496,0.45700135827064514,2.864635705947876,0.3283509314060211,0.7321251034736633,2.990668296813965,0.38616225123405457,0.453732967376709,2.951984405517578,0.3321056663990021,0.6624263525009155,3.0570051670074463,-0.3457840085029602,0.4669263958930969,3.0472826957702637,-0.40488147735595703
6,0.5749698877334595,0.5555299520492554,-1.1870760917663574,0.6079933047294617,0.47501257061958313,-1.1478248834609985,0.6269375085830688,0.4757140576839447,-1.1478655338287354,0.643826961517334,0.478293776512146,-1.147982120513916,0.5561646819114685,0.4789921045303345,-1.1109635829925537,0.5411286354064941,0.4805966019630432,-1.1103010177612305,0.5272701978683472,0.48255541920661926,-1.1104856729507446,0.675765335559845,0.5021486282348633,-0.7040113210678101,0.5258948802947998,0.4975742697715759,-0.5264776945114136,0.6149915456771851,0.6211830377578735,-1.0167592763900757,0.5510149002075195,0.626072108745575,-0.9658241271972656,0.8248907327651978,0.8428986072540283,-0.4358779788017273,0.41077643632888794,0.8099830150604248,-0.23457744717597961,0.9216448664665222,1.2473180294036865,-0.5470261573791504,0.2767612040042877,1.1473257541656494,-0.8004416227340698,0.898192286491394,1.4996989965438843,-0.9530229568481445,0.2592836022377014,0.8986843824386597,-2.0942702293395996,0.9104090929031372,1.5969107151031494,-1.0543570518493652,0.22211070358753204,0.7923824787139893,-2.313810110092163,0.8738203048706055,1.583821177482605,-1.105323076248169,0.19789712131023407,0.7316856384277344,-2.327288866043091,0.8548638224601746,1.5491770505905151,-0.9891756176948547,0.2623002529144287,0.7944748401641846,-2.1426851749420166,0.7485174536705017,1.5972527265548706,-0.12202854454517365,0.44980448484420776,1.575218915939331,0.12678822875022888,0.7224434018135071,2.2799084186553955,-0.23209431767463684,0.4403296411037445,2.2512118816375732,0.0949939638376236,0.6936683654785156,2.9025003910064697,0.3683028221130371,0.42665261030197144,2.872161388397217,0.5028339624404907,0.7020314335823059,2.9949679374694824,0.38368281722068787,0.4241272509098053,2.9568467140197754,0.5215580463409424,0.6412543058395386,3.064012289047241,-0.3487452566623688,0.43275848031044006,3.0573339462280273,-0.25100260972976685
7,0.5757773518562317,0.5504387021064758,-1.1112374067306519,0.6108428239822388,0.47424229979515076,-1.062199592590332,0.6302499175071716,0.4750676453113556,-1.0622622966766357,0.6466342210769653,0.47779157757759094,-1.0623995065689087,0.5564374327659607,0.47739383578300476,-1.0347743034362793,0.5405170917510986,0.478674054145813,-1.0340336561203003,0.5263174176216125,0.4803500473499298,-1.0342729091644287,0.6747667789459229,0.5021947622299194,-0.6553071141242981,0.5252743363380432,0.49698251485824585,-0.48164504766464233,0.6133330464363098,0.6192538738250732,-0.9439435005187988,0.5489534139633179,0.6222162842750549,-0.9052827954292297,0.8198216557502747,0.8436318039894104,-0.43257635831832886,0.4032072424888611,0.8074788451194763,-0.24641099572181702,0.9207155108451843,1.2562800645828247,-0.49275779724121094,0.26744920015335083,1.1411207914352417,-0.8722206354141235,0.8962809443473816,1.5128306150436401,-0.8101602792739868,0.24692325294017792,0.8230952620506287,-2.163886785507202,0.9098603129386902,1.6216845512390137,-0.9096436500549316,0.220002219080925,0.7284024953842163,-2.3981049060821533,0.8734976649284363,1.5894865989685059,-0.9721885919570923,0.18442896008491516,0.6920217275619507,-2.4094128608703613,0.8547366261482239,1.5513256788253784,-0.8520520925521851,0.2558934986591339,0.7295117974281311,-2.2114243507385254,0.7407808899879456,1.5991461277008057,-0.10896239429712296,0.4321531653404236,1.5777466297149658,0.11396855115890503,0.7117441892623901,2.2821290493011475,-0.2148571014404297,0.4274371266365051,2.2556772232055664,0.07965706288814545,0.6855822801589966,2.903588056564331,0.4018007814884186,0.4120180606842041,2.876220703125,0.49564307928085327,0.6915441751480103,2.9952125549316406,0.4173155426979065,0.40638819336891174,2.9600768089294434,0.5166258811950684,0.6380869746208191,3.0681345462799072,-0.3131743371486664,0.4273056983947754,3.0632195472717285,-0.2488863170146942
8,0.5751904249191284,0.5454221963882446,-1.0656846761703491,0.60978764295578,0.470897376537323,-1.0341955423355103,0.6290774941444397,0.4718918800354004,-1.0342743396759033,0.6454517841339111,0.47492581605911255,-1.034778356552124,0.5561197996139526,0.47386208176612854,-0.996314525604248,0.540352463722229,0.47537219524383545,-0.9957777857780457,0.5263375043869019,0.4773746728897095,-0.9961649179458618,0.6732798218727112,0.5019129514694214,-0.5945017337799072,0.5244572162628174,0.4962851107120514,-0.46836286783218384,0.6120470762252808,0.616030752658844,-0.9124252200126648,0.5482494235038757,0.6193896532058716,-0.8655880093574524,0.8152593374252319,0.8436087965965271,-0.41441383957862854,0.40181559324264526,0.8077208995819092,-0.23973524570465088,0.9092686772346497,1.2649794816970825,-0.46449509263038635,0.26667773723602295,1.1407921314239502,-0.8523624539375305,0.8952027559280396,1.5586416721343994,-0.7763769030570984,0.2479706108570099,0.8238800764083862,-2.073577880859375,0.9098604321479797,1.6703168153762817,-0.8755960464477539,0.21924452483654022,0.7246858477592468,-2.294260025024414,0.8731968998908997,1.6412583589553833,-0.9610186815261841,0.20814073085784912,0.6821768283843994,-2.299659252166748,0.8545807003974915,1.603609323501587,-0.8239448666572571,0.2589401602745056,0.7281032204627991,-2.1173293590545654,0.7348536252975464,1.599179744720459,-0.1083931103348732,0.4270738959312439,1.5793057680130005,0.11329692602157593,0.7080192565917969,2.28196120262146,-0.2120034247636795,0.4290951192378998,2.2583940029144287,0.0737357810139656,0.6887690424919128,2.900986909866333,0.40125665068626404,0.41912731528282166,2.8762755393981934,0.47789686918258667,0.6956201195716858,2.991100788116455,0.4163336157798767,0.41434770822525024,2.9580321311950684,0.49883008003234863,0.6431892514228821,3.064664363861084,-0.29506394267082214,0.4356333315372467,3.0620412826538086,-0.24758827686309814
9,0.5763553380966187,0.5374589562416077,-0.9968304634094238,0.6116912961006165,0.46481430530548096,-0.9427032470703125,0.6308866739273071,0.46582451462745667,-0.9428107142448425,0.6466814279556274,0.4690104126930237,-0.9430546760559082,0.5571045279502869,0.46719732880592346,-0.9177480936050415,0.5408418774604797,0.4687826931476593,-0.9167748689651489,0.5264796614646912,0.4712176024913788,-0.916838526725769,0.6731603741645813,0.499420166015625,-0.5133183598518372,0.5238689184188843,0.4937588572502136,-0.39989954233169556,0.6131353378295898,0.6104905605316162,-0.8425728678703308,0.5480659008026123,0.6144475936889648,-0.8084959983825684,0.8110615611076355,0.8435471653938293,-0.3355511724948883,0.40181833505630493,0.8080923557281494,-0.22053799033164978,0.8985875248908997,1.2810208797454834,-0.3922554850578308,0.26842400431632996,1.153412938117981,-0.8161638379096985,0.8943263292312622,1.5723204612731934,-0.6753675937652588,0.2712644338607788,0.82161545753479,-2.0102508068084717,0.9102158546447754,1.6795381307601929,-0.759878933429718,0.24783317744731903,0.7153845429420471,-2.227789878845215,0.8736780881881714,1.6490689516067505,-0.8203075528144836,0.2518179416656494,0.6711982488632202,-2.236285924911499,0.8541342616081238,1.6124266386032104,-0.7158535122871399,0.286834180355072,0.7186153531074524,-2.053218364715576,0.7345582246780396,1.6023907661437988,-0.10565511882305145,0.4277689456939697,1.5835673809051514,0.1107337698340416,0.7086095213890076,2.282179594039917,-0.2721977233886719,0.4356840252876282,2.2644572257995605,0.024843260645866394,0.6901922821998596,2.9030799865722656,0.2665368616580963,0.4270506799221039,2.8798489570617676,0.31620436906814575,0.6961034536361694,2.993119955062866,0.27537795901298523,0.4213353991508484,2.9623284339904785,0.3261157274246216,0.6450347900390625,3.0674667358398438,-0.41976529359817505,0.43870916962623596,3.0659048557281494,-0.3931357264518738
