frame,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16
0,0.5648468136787415,0.36312007904052734,-0.13609755039215088,0.4621567130088806,0.35845839977264404,-0.2096223086118698,0.5743575692176819,0.4733271300792694,-0.08169355243444443,0.45268183946609497,0.46635887026786804,-0.19064457714557648,0.5343747735023499,0.5476559400558472,-0.19572491943836212,0.48440656065940857,0.5576474666595459,-0.27550363540649414
1,0.5646188855171204,0.3631095290184021,-0.15515018999576569,0.4624098241329193,0.35872963070869446,-0.2127915918827057,0.5745623111724854,0.47258642315864563,-0.10969289392232895,0.4532254636287689,0.46733561158180237,-0.1973324418067932,0.535192608833313,0.5479580760002136,-0.2162792682647705,0.48753461241722107,0.5583239197731018,-0.28115561604499817
2,0.5644747614860535,0.36308717727661133,-0.13899967074394226,0.4628450274467468,0.35879480838775635,-0.19636549055576324,0.5745996236801147,0.4722619950771332,-0.09772593528032303,0.4535342752933502,0.4677514433860779,-0.1797466278076172,0.5352942943572998,0.5480343103408813,-0.20529329776763916,0.48794442415237427,0.5583358407020569,-0.2648221254348755
3,0.5645540356636047,0.3632921874523163,-0.1530025601387024,0.4631851613521576,0.3590281307697296,-0.19866108894348145,0.5745311379432678,0.47227317094802856,-0.1148347407579422,0.45434269309043884,0.4690025746822357,-0.18092940747737885,0.5352814197540283,0.5487378239631653,-0.22715899348258972,0.4884950518608093,0.5586313605308533,-0.26692551374435425
4,0.5645496249198914,0.3629893958568573,-0.14697876572608948,0.4634063243865967,0.3590365946292877,-0.20815734565258026,0.5747724175453186,0.4710649847984314,-0.10306056588888168,0.4548739492893219,0.46964600682258606,-0.1927209198474884,0.5356336832046509,0.5486511588096619,-0.21487660706043243,0.48962387442588806,0.5592831969261169,-0.27354615926742554
5,0.5647451281547546,0.3630005419254303,-0.1479467749595642,0.463742733001709,0.35907167196273804,-0.21110287308692932,0.5747760534286499,0.47123420238494873,-0.10267851501703262,0.4550722539424896,0.4696871340274811,-0.19729310274124146,0.5355885624885559,0.5487081408500671,-0.2125714123249054,0.4894891381263733,0.559044599533081,-0.28086620569229126
6,0.5649321675300598,0.3629738688468933,-0.14836804568767548,0.4638908803462982,0.35906389355659485,-0.21071501076221466,0.5748589038848877,0.47175511717796326,-0.10543720424175262,0.455350786447525,0.46980464458465576,-0.19649244844913483,0.5355820059776306,0.5490788221359253,-0.21684424579143524,0.489713191986084,0.5591251850128174,-0.28024089336395264
7,0.5649389028549194,0.36284542083740234,-0.1481105387210846,0.46400508284568787,0.3590479791164398,-0.2138470858335495,0.5750749707221985,0.47176191210746765,-0.1036996841430664,0.4555904269218445,0.4695824682712555,-0.19871598482131958,0.5358160734176636,0.549018144607544,-0.21616145968437195,0.48978009819984436,0.5589593648910522,-0.2840689718723297
8,0.5649563670158386,0.36291760206222534,-0.1590002179145813,0.4641497731208801,0.3590679168701172,-0.20210318267345428,0.575121283531189,0.4721486270427704,-0.11854451894760132,0.4558429718017578,0.46962589025497437,-0.18123528361320496,0.5357024669647217,0.5490541458129883,-0.23057785630226135,0.4897456169128418,0.5588609576225281,-0.27554643154144287
9,0.5649839043617249,0.36287155747413635,-0.15600430965423584,0.4641743302345276,0.35890382528305054,-0.199555441737175,0.5752138495445251,0.47219318151474,-0.11288066953420639,0.45589175820350647,0.46962225437164307,-0.17957772314548492,0.5357017517089844,0.5490529537200928,-0.2283562868833542,0.48982900381088257,0.5588604211807251,-0.2688455283641815
