frame,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0,0.5283895134925842,0.24493588507175446,-0.3620876669883728,0.9999940991401672,0.5347471833229065,0.23367908596992493,-0.35836783051490784,0.9999755620956421,0.5385143756866455,0.23341725766658783,-0.35836419463157654,0.9999765157699585,0.5425014495849609,0.23316951096057892,-0.35837027430534363,0.9999761581420898,0.5256470441818237,0.2346142679452896,-0.345624715089798,0.9999806880950928,0.522881031036377,0.23495668172836304,-0.3456708788871765,0.9999812841415405,0.520155131816864,0.23519887030124664,-0.3456903398036957,0.9999801516532898,0.5544196367263794,0.23751506209373474,-0.2790937125682831,0.9999514222145081,0.5235298275947571,0.23935748636722565,-0.2234831601381302,0.9999502301216125,0.5361073613166809,0.2545492351055145,-0.33108147978782654,0.9999908208847046,0.5258641839027405,0.2548224925994873,-0.31378355622291565,0.9999895691871643,0.6007238030433655,0.30289459228515625,-0.2269163280725479,0.9999819993972778,0.5005351305007935,0.30365657806396484,-0.10316675901412964,0.9999913573265076,0.6199412941932678,0.3855910897254944,-0.19945628941059113,0.9755986928939819,0.4885733127593994,0.37700748443603516,-0.024562785401940346,0.9909205436706543,0.6258645057678223,0.45994833111763,-0.25200656056404114,0.9796818494796753,0.4738900661468506,0.44931429624557495,-0.10484406352043152,0.9901308417320251,0.6285423040390015,0.47935208678245544,-0.27952373027801514,0.9550436735153198,0.4663311541080475,0.46587318181991577,-0.12513761222362518,0.9784319400787354,0.6223324537277222,0.4789694845676422,-0.30938825011253357,0.9604364633560181,0.4690845012664795,0.4676506221294403,-0.16589172184467316,0.9798471927642822,0.6194251775741577,0.4705047011375427,-0.2636115550994873,0.953205943107605,0.4747525751590729,0.4618140459060669,-0.12328542768955231,0.9738306999206543,0.5761658549308777,0.44616666436195374,-0.03828011453151703,0.9998401999473572,0.5214425921440125,0.44315388798713684,0.038192544132471085,0.9998891353607178,0.5826043486595154,0.546471893787384,-0.03513667732477188,0.9894750714302063,0.5134043097496033,0.546413242816925,0.09562959522008896,0.9965120553970337,0.5928463935852051,0.6485393047332764,0.08526160567998886,0.9943625330924988,0.5078773498535156,0.6423871517181396,0.26079824566841125,0.9968916177749634,0.5929285287857056,0.662665069103241,0.08791729062795639,0.9527974724769592,0.517536461353302,0.6587637066841125,0.26923179626464844,0.919108510017395,0.5833641886711121,0.6834310293197632,-0.051918208599090576,0.9923203587532043,0.4779178500175476,0.6682248115539551,0.1636652946472168,0.9944422245025635
1,0.5333881974220276,0.24093137681484222,-0.3540475070476532,0.9999938011169434,0.5396690964698792,0.2300284206867218,-0.3509036600589752,0.9999741315841675,0.5433774590492249,0.22961369156837463,-0.3508928418159485,0.9999754428863525,0.5473091006278992,0.22932444512844086,-0.35089823603630066,0.9999751448631287,0.5304641723632812,0.23095405101776123,-0.3372857868671417,0.9999793171882629,0.5276095867156982,0.23117531836032867,-0.3373010456562042,0.9999796748161316,0.524976372718811,0.23128628730773926,-0.33730021119117737,0.9999781250953674,0.557945966720581,0.23324045538902283,-0.27536824345588684,0.9999518990516663,0.5281194448471069,0.2344968020915985,-0.2136295884847641,0.9999446868896484,0.5414553284645081,0.2510497272014618,-0.3234398365020752,0.9999906420707703,0.531635046005249,0.25115102529525757,-0.30485084652900696,0.9999889135360718,0.6045243740081787,0.2979695498943329,-0.21950140595436096,0.9999822378158569,0.5046006441116333,0.29991698265075684,-0.09395017474889755,0.99998939037323,0.6244916319847107,0.37830469012260437,-0.1875104308128357,0.9778708815574646,0.4890896677970886,0.3747737407684326,-0.017058806493878365,0.9853320717811584,0.6293926239013672,0.4547361135482788,-0.24519984424114227,0.980762243270874,0.4783417284488678,0.4446824789047241,-0.09829166531562805,0.9860532283782959,0.6318418383598328,0.47301703691482544,-0.2734268009662628,0.9570642709732056,0.4719577133655548,0.46309202909469604,-0.1198016107082367,0.9709417223930359,0.625765323638916,0.4718174934387207,-0.3055973947048187,0.9620961546897888,0.4747791588306427,0.4631512761116028,-0.15974944829940796,0.9728526473045349,0.6232863068580627,0.4653342664241791,-0.257560670375824,0.9548526406288147,0.4798870384693146,0.4570060968399048,-0.11638154834508896,0.9661287069320679,0.5833414793014526,0.44091179966926575,-0.04088372364640236,0.9998284578323364,0.5281774401664734,0.43973854184150696,0.04081020504236221,0.9998742938041687,0.5898624658584595,0.5440167784690857,-0.03151918947696686,0.9903386235237122,0.5192574262619019,0.5421227812767029,0.09603609889745712,0.9964578151702881,0.5977479815483093,0.6447927355766296,0.08969125896692276,0.9947469234466553,0.5144258737564087,0.6373847126960754,0.25203338265419006,0.9969320297241211,0.5995715260505676,0.6579258441925049,0.09188912808895111,0.9515372514724731,0.526148796081543,0.6545000672340393,0.2590100169181824,0.9241019487380981,0.5896711945533752,0.6781306266784668,-0.04813360050320625,0.9927002191543579,0.48259833455085754,0.6641772985458374,0.1509954333305359,0.9945852756500244
2,0.5351518988609314,0.24191994965076447,-0.3637862503528595,0.9999936819076538,0.5421475172042847,0.22920219600200653,-0.36180850863456726,0.9999740123748779,0.5464540719985962,0.22870837152004242,-0.3618001639842987,0.9999755024909973,0.5501237511634827,0.22834204137325287,-0.3618256747722626,0.999975323677063,0.5308495759963989,0.23035040497779846,-0.35480332374572754,0.9999783635139465,0.5277948975563049,0.2306293100118637,-0.3548518121242523,0.9999784231185913,0.5248767137527466,0.23088985681533813,-0.3548681437969208,0.9999763369560242,0.5593193769454956,0.23179426789283752,-0.2822192907333374,0.9999533891677856,0.5260624885559082,0.23418737947940826,-0.23736761510372162,0.9999392032623291,0.5440496206283569,0.25121456384658813,-0.3354266285896301,0.9999905824661255,0.532015860080719,0.25230035185813904,-0.3248231112957001,0.9999882578849792,0.606392502784729,0.29858970642089844,-0.2143869400024414,0.9999822974205017,0.5048410892486572,0.30025455355644226,-0.12149827927350998,0.9999857544898987,0.624057412147522,0.37908539175987244,-0.17323966324329376,0.9798933267593384,0.49207204580307007,0.3749141991138458,-0.04240811616182327,0.9786330461502075,0.6290911436080933,0.4552140235900879,-0.23656460642814636,0.9819175601005554,0.48051226139068604,0.44561541080474854,-0.1272638589143753,0.9811040759086609,0.6303533911705017,0.473463237285614,-0.2639545798301697,0.9593112468719482,0.4736936390399933,0.4652847647666931,-0.15003274381160736,0.9632576107978821,0.6240979433059692,0.47260329127311707,-0.29796019196510315,0.9640145897865295,0.4749756157398224,0.4647049307823181,-0.1924285590648651,0.9657302498817444,0.6220623254776001,0.46628203988075256,-0.24972213804721832,0.9569088220596313,0.48017245531082153,0.4584504961967468,-0.14614476263523102,0.9583801031112671,0.584044337272644,0.43849825859069824,-0.029322294518351555,0.9998172521591187,0.5262529253959656,0.43597275018692017,0.029232000932097435,0.9998576641082764,0.5900090932846069,0.5438234806060791,-0.01642807386815548,0.990899384021759,0.5181666612625122,0.5421271920204163,0.05788835883140564,0.9963465929031372,0.5986433029174805,0.642007052898407,0.1146588921546936,0.9949340224266052,0.5126172304153442,0.6364662051200867,0.21310918033123016,0.996849000453949,0.5968297123908997,0.6550054550170898,0.11813454329967499,0.9482620358467102,0.5220767259597778,0.6523133516311646,0.22004564106464386,0.9265429973602295,0.592781662940979,0.678291380405426,-0.018480749800801277,0.9927224516868591,0.48269298672676086,0.6639318466186523,0.10332109034061432,0.9944517612457275
3,0.5351342558860779,0.23799674212932587,-0.3593626618385315,0.9999939203262329,0.5421524047851562,0.22708648443222046,-0.3522050082683563,0.9999752044677734,0.5465474724769592,0.22662363946437836,-0.3522113263607025,0.9999767541885376,0.5507700443267822,0.22633366286754608,-0.35223230719566345,0.9999766945838928,0.5308376550674438,0.22822268307209015,-0.3433687388896942,0.9999788999557495,0.5280742049217224,0.2285761833190918,-0.3433871269226074,0.99997878074646,0.5255542993545532,0.2288864701986313,-0.34337398409843445,0.9999764561653137,0.5589669942855835,0.23036809265613556,-0.27277153730392456,0.9999566674232483,0.526697039604187,0.2332863211631775,-0.22384165227413177,0.9999391436576843,0.5448245406150818,0.24842768907546997,-0.32646021246910095,0.9999910593032837,0.5320066213607788,0.24914228916168213,-0.3141055107116699,0.9999883770942688,0.6065187454223633,0.2989971935749054,-0.2062615603208542,0.9999830722808838,0.5056074857711792,0.3016386926174164,-0.10639537870883942,0.999981701374054,0.6231434345245361,0.37794461846351624,-0.16291329264640808,0.9817182421684265,0.4941234588623047,0.3745213747024536,-0.023219196125864983,0.9684666395187378,0.6311444044113159,0.4530349373817444,-0.22131836414337158,0.9828734993934631,0.47978341579437256,0.4440455138683319,-0.10142982006072998,0.9725130796432495,0.6321931481361389,0.4712979197502136,-0.24774892628192902,0.9612249732017517,0.4736223816871643,0.46291446685791016,-0.12089794874191284,0.9507124423980713,0.626130998134613,0.4706980586051941,-0.2818847596645355,0.9656563401222229,0.4744897782802582,0.46291324496269226,-0.1638958752155304,0.9539660215377808,0.6242094039916992,0.46417534351348877,-0.23445478081703186,0.9586275815963745,0.47949299216270447,0.45757055282592773,-0.12070171535015106,0.9456261992454529,0.5844358205795288,0.4378865659236908,-0.030784551054239273,0.9998142719268799,0.5269266963005066,0.43566468358039856,0.03071441873908043,0.999841034412384,0.5895306468009949,0.5427191853523254,-0.03721354901790619,0.9915047883987427,0.5184248685836792,0.5410720109939575,0.07329817116260529,0.9960956573486328,0.5979872345924377,0.6446382403373718,0.06997378915548325,0.9951991438865662,0.5115857124328613,0.6366493701934814,0.23246222734451294,0.9967080354690552,0.5976085662841797,0.6570883393287659,0.07067560404539108,0.9456771612167358,0.5227389335632324,0.6519525051116943,0.23949900269508362,0.9280524253845215,0.5872935056686401,0.6788557767868042,-0.06989499181509018,0.9929254651069641,0.4830842614173889,0.6629062294960022,0.1278131753206253,0.9943061470985413
4,0.5342847108840942,0.236281618475914,-0.3378930687904358,0.9999938607215881,0.5412954092025757,0.22597330808639526,-0.3325023353099823,0.9999754428863525,0.5460402369499207,0.22557377815246582,-0.332510769367218,0.999977171421051,0.5504562854766846,0.225375235080719,-0.33252349495887756,0.9999772310256958,0.5304580926895142,0.2269868701696396,-0.32146719098091125,0.9999785423278809,0.5277895927429199,0.22730287909507751,-0.3214851915836334,0.999978244304657,0.5251185297966003,0.22769437730312347,-0.32148516178131104,0.9999756217002869,0.5593016743659973,0.22972947359085083,-0.2655070722103119,0.9999586939811707,0.5268768072128296,0.23265105485916138,-0.20579883456230164,0.9999372363090515,0.544216513633728,0.2470136135816574,-0.3077416718006134,0.9999912977218628,0.5314221382141113,0.24739627540111542,-0.2927294373512268,0.9999881982803345,0.607179582118988,0.2989584803581238,-0.2012420892715454,0.9999833703041077,0.5061531662940979,0.30069002509117126,-0.09430361539125443,0.9999791383743286,0.6235332489013672,0.37875664234161377,-0.1590384542942047,0.9832872152328491,0.49304133653640747,0.37390515208244324,-0.015334908850491047,0.9602469205856323,0.6303896307945251,0.453182578086853,-0.21332992613315582,0.983403205871582,0.4783465564250946,0.44394049048423767,-0.09387707710266113,0.9658436179161072,0.6317216157913208,0.47142350673675537,-0.23975813388824463,0.9622924327850342,0.4724194407463074,0.46245431900024414,-0.11282177269458771,0.9406906962394714,0.6255947351455688,0.47066980600357056,-0.27477073669433594,0.9665058255195618,0.47501757740974426,0.4628918170928955,-0.1552264243364334,0.9445410370826721,0.6231715083122253,0.4636693298816681,-0.22668860852718353,0.9593824148178101,0.4800228476524353,0.4571160078048706,-0.11297408491373062,0.9353308081626892,0.5841095447540283,0.43841874599456787,-0.032176826149225235,0.9998124241828918,0.5271918177604675,0.4362115263938904,0.03211434930562973,0.9998301863670349,0.5903899073600769,0.5423898696899414,-0.039529819041490555,0.9921247959136963,0.518535315990448,0.541455864906311,0.08767800033092499,0.9960116147994995,0.5974863767623901,0.6444464921951294,0.06763891130685806,0.9954836368560791,0.5129368901252747,0.6362448334693909,0.2521243393421173,0.9966577887535095,0.5969024896621704,0.6560473442077637,0.06836646050214767,0.9444204568862915,0.5233860611915588,0.6513225436210632,0.2598983645439148,0.9302687644958496,0.5879783034324646,0.6785321235656738,-0.07128501683473587,0.9932006001472473,0.48357656598091125,0.6617674231529236,0.15147002041339874,0.9943047165870667
5,0.5346300601959229,0.2355298399925232,-0.33898410201072693,0.9999938011169434,0.5413569211959839,0.22536879777908325,-0.33299320936203003,0.9999755024909973,0.5461357831954956,0.22505716979503632,-0.33299848437309265,0.9999773502349854,0.5505611896514893,0.2248833328485489,-0.333010196685791,0.9999775290489197,0.530947208404541,0.2261844426393509,-0.32306674122810364,0.9999781847000122,0.5281942486763,0.22643813490867615,-0.3230907917022705,0.999977707862854,0.5254035592079163,0.22681474685668945,-0.32309970259666443,0.9999748468399048,0.5597972869873047,0.22912462055683136,-0.26349884271621704,0.99996018409729,0.5268170237541199,0.2318492829799652,-0.209104984998703,0.9999358057975769,0.5442811846733093,0.24647469818592072,-0.30767083168029785,0.9999914765357971,0.5317307114601135,0.24650070071220398,-0.2942556142807007,0.9999880194664001,0.6064854860305786,0.29821550846099854,-0.20015166699886322,0.999983549118042,0.5059210062026978,0.30036330223083496,-0.09946908056735992,0.9999769330024719,0.6227623224258423,0.3780074119567871,-0.15742427110671997,0.9846854209899902,0.4927084445953369,0.3732239007949829,-0.023555641993880272,0.9546207189559937,0.6298585534095764,0.45232513546943665,-0.21165253221988678,0.9838690161705017,0.47871580719947815,0.4447440803050995,-0.09959685802459717,0.960434079170227,0.6319165229797363,0.4705303907394409,-0.23762717843055725,0.9632598757743835,0.47243553400039673,0.46369099617004395,-0.11882907152175903,0.9321485161781311,0.6254733204841614,0.469806969165802,-0.27177321910858154,0.9672767519950867,0.4751288592815399,0.4643968939781189,-0.1598086655139923,0.9364603757858276,0.6225292086601257,0.46293389797210693,-0.22453345358371735,0.9600710868835449,0.48058679699897766,0.4581316411495209,-0.11791328340768814,0.9265645742416382,0.5847572684288025,0.4381331503391266,-0.03155660629272461,0.9998074173927307,0.5276596546173096,0.4358079731464386,0.031484369188547134,0.9998185038566589,0.5902706384658813,0.5426101684570312,-0.04364306479692459,0.9926593899726868,0.5184558033943176,0.5417515635490417,0.07970988005399704,0.9958983659744263,0.5974705815315247,0.6443209052085876,0.060995906591415405,0.9957081079483032,0.5135612487792969,0.6377004384994507,0.24328701198101044,0.9965519905090332,0.597379744052887,0.6561024785041809,0.061528511345386505,0.9422495365142822,0.5233486294746399,0.6519240736961365,0.2510923743247986,0.9316934943199158,0.5878848433494568,0.678524374961853,-0.07864493131637573,0.9933728575706482,0.4844336211681366,0.6622306704521179,0.14163246750831604,0.9941962361335754
6,0.5353721976280212,0.23545025289058685,-0.34070533514022827,0.9999937415122986,0.5419641733169556,0.22525519132614136,-0.3338603377342224,0.9999756217002869,0.5467631816864014,0.22498272359371185,-0.33387261629104614,0.9999775886535645,0.551171064376831,0.2247975617647171,-0.3338867723941803,0.9999778866767883,0.5314210653305054,0.226000115275383,-0.3244737684726715,0.9999778270721436,0.5285045504570007,0.2262541651725769,-0.3244968056678772,0.9999771118164062,0.5255560874938965,0.22662179172039032,-0.3245081901550293,0.9999740123748779,0.5603471994400024,0.22898204624652863,-0.2604351043701172,0.9999616146087646,0.5264583826065063,0.23166875541210175,-0.20992952585220337,0.9999337196350098,0.5450355410575867,0.24641425907611847,-0.30856919288635254,0.9999915957450867,0.5321256518363953,0.2465084046125412,-0.2959412634372711,0.999987781047821,0.6066288352012634,0.2985296845436096,-0.20081010460853577,0.9999836683273315,0.5057768225669861,0.3001381754875183,-0.09915241599082947,0.999973714351654,0.6226707100868225,0.37778380513191223,-0.16158035397529602,0.9859340786933899,0.4933336079120636,0.3731573820114136,-0.02328968420624733,0.9483416676521301,0.629639744758606,0.4516923427581787,-0.217359721660614,0.9842919111251831,0.4792804419994354,0.44522884488105774,-0.09925957024097443,0.9545274376869202,0.6325480937957764,0.4698432385921478,-0.24360759556293488,0.9641782641410828,0.4723253846168518,0.46353834867477417,-0.11850124597549438,0.9231778979301453,0.6257264018058777,0.469404011964798,-0.2763896584510803,0.9680267572402954,0.4744667112827301,0.4645451605319977,-0.15962505340576172,0.9280007481575012,0.6224204301834106,0.4626092314720154,-0.22970588505268097,0.9607551097869873,0.4806215763092041,0.45838651061058044,-0.11765208840370178,0.9174971580505371,0.5847710371017456,0.4386652410030365,-0.03229689225554466,0.999802827835083,0.527885377407074,0.4364232122898102,0.032235875725746155,0.9998061060905457,0.5900396704673767,0.5429847836494446,-0.045998163521289825,0.9931124448776245,0.5184071063995361,0.5423340797424316,0.08125272393226624,0.9957506656646729,0.5974430441856384,0.6446042060852051,0.05770199000835419,0.9959021806716919,0.5140163898468018,0.6386796832084656,0.2492077648639679,0.9964433312416077,0.5974923968315125,0.6573137044906616,0.05811632424592972,0.9401873350143433,0.5236397385597229,0.6522073745727539,0.2574858069419861,0.9329854846000671,0.5884299874305725,0.6784883737564087,-0.08211931586265564,0.9935169219970703,0.4842882752418518,0.6624717116355896,0.14865270256996155,0.9940789937973022
7,0.5358446836471558,0.23451511561870575,-0.3405974209308624,0.9999936819076538,0.5424805879592896,0.22454625368118286,-0.3337722718715668,0.9999757409095764,0.5472964644432068,0.22429805994033813,-0.333786278963089,0.9999778270721436,0.551633358001709,0.22415952384471893,-0.3338027894496918,0.999978244304657,0.5318324565887451,0.22523362934589386,-0.32452598214149475,0.9999774694442749,0.5289210677146912,0.22546912729740143,-0.3245505690574646,0.9999765157699585,0.5259394645690918,0.22584056854248047,-0.3245624005794525,0.9999731183052063,0.5606222748756409,0.22856925427913666,-0.25948023796081543,0.9999629855155945,0.5267850160598755,0.23120343685150146,-0.21140342950820923,0.9999315142631531,0.545475423336029,0.24573081731796265,-0.30879926681518555,0.9999916553497314,0.5324698686599731,0.24582810699939728,-0.2964058518409729,0.9999874234199524,0.6067764759063721,0.2986755073070526,-0.20249336957931519,0.9999836683273315,0.5058579444885254,0.30008938908576965,-0.10136264562606812,0.999970018863678,0.6227011680603027,0.3777202069759369,-0.16226351261138916,0.9870542883872986,0.4936571717262268,0.37322473526000977,-0.02527744695544243,0.9422175288200378,0.6295810341835022,0.45160654187202454,-0.21563966572284698,0.9845950603485107,0.4793044924736023,0.4446025788784027,-0.09923697263002396,0.9483035206794739,0.632659912109375,0.46991056203842163,-0.24146278202533722,0.9648268818855286,0.472095787525177,0.46253129839897156,-0.11790772527456284,0.9138669967651367,0.626193106174469,0.46962976455688477,-0.2743936777114868,0.9685496687889099,0.47424644231796265,0.4635666310787201,-0.1589285284280777,0.9192671179771423,0.622802197933197,0.46270060539245605,-0.22804370522499084,0.9611986875534058,0.48052361607551575,0.4576532542705536,-0.11759063601493835,0.9080908894538879,0.584446907043457,0.4386413097381592,-0.032442606985569,0.9997997283935547,0.5276013612747192,0.43651774525642395,0.032383911311626434,0.9997947216033936,0.5905433297157288,0.5428552627563477,-0.049417734146118164,0.9935277104377747,0.5188001394271851,0.5426526665687561,0.08502712100744247,0.995628833770752,0.5978230237960815,0.6448512673377991,0.05176140367984772,0.9960973262786865,0.5140848159790039,0.6395142078399658,0.25445154309272766,0.9963774085044861,0.5983262062072754,0.6579695343971252,0.051893968135118484,0.9386968016624451,0.5238550901412964,0.6529450416564941,0.2629030644893646,0.9343574643135071,0.5892124176025391,0.6782575845718384,-0.08838385343551636,0.9936814904212952,0.4842379093170166,0.6629201173782349,0.15457767248153687,0.9940146207809448
8,0.5358189344406128,0.23424163460731506,-0.34547194838523865,0.9999937415122986,0.5424103140830994,0.22425006330013275,-0.3380681574344635,0.9999762177467346,0.5472240447998047,0.224040225148201,-0.33807989954948425,0.9999783635139465,0.5516045689582825,0.2239125669002533,-0.33809489011764526,0.9999788999557495,0.5319051146507263,0.22487102448940277,-0.3295164704322815,0.9999775290489197,0.5289793610572815,0.22509878873825073,-0.32954323291778564,0.999976396560669,0.5260134935379028,0.2254633903503418,-0.32955339550971985,0.9999728798866272,0.5607091188430786,0.22839343547821045,-0.26066720485687256,0.9999645352363586,0.5269427299499512,0.23091760277748108,-0.2157556712627411,0.9999310970306396,0.5453378558158875,0.2455441653728485,-0.3124319016933441,0.9999918341636658,0.5325166583061218,0.24557632207870483,-0.30113622546195984,0.9999873638153076,0.6065179705619812,0.298884779214859,-0.20594708621501923,0.9999837875366211,0.5057864189147949,0.3002206087112427,-0.1056784838438034,0.999967634677887,0.6226896047592163,0.3775878846645355,-0.16549493372440338,0.9880602955818176,0.493949830532074,0.3731006979942322,-0.029065068811178207,0.9374374151229858,0.6295668482780457,0.45159217715263367,-0.2180645614862442,0.9848249554634094,0.479495644569397,0.44422852993011475,-0.1040070503950119,0.9432660341262817,0.6326133012771606,0.46973174810409546,-0.243672177195549,0.9652904868125916,0.4724501073360443,0.4620230495929718,-0.12326919287443161,0.906066358089447,0.6265314817428589,0.4695444107055664,-0.2763747572898865,0.9689131379127502,0.4747471213340759,0.4630923569202423,-0.16456948220729828,0.9119759202003479,0.623151421546936,0.46265074610710144,-0.2303781360387802,0.961444616317749,0.4809359014034271,0.4572802186012268,-0.12251157313585281,0.9001879692077637,0.5841595530509949,0.43851298093795776,-0.0321393683552742,0.9997995495796204,0.527393102645874,0.43629753589630127,0.03207901492714882,0.9997881650924683,0.590389609336853,0.5421619415283203,-0.049733955413103104,0.9939125776290894,0.5184791684150696,0.5426027178764343,0.08340264111757278,0.9955641031265259,0.597617506980896,0.6447438597679138,0.0530913807451725,0.9962918162345886,0.5139532089233398,0.6394237875938416,0.25669780373573303,0.9963431358337402,0.5980027914047241,0.6580991148948669,0.0533691868185997,0.9375510215759277,0.523652970790863,0.6526104807853699,0.26551681756973267,0.9358350038528442,0.5894066095352173,0.6785330772399902,-0.08900324255228043,0.9938711524009705,0.4844363331794739,0.662912130355835,0.15598702430725098,0.9940075874328613
9,0.5358712673187256,0.23391161859035492,-0.3387235105037689,0.9999938011169434,0.5425705313682556,0.22405244410037994,-0.3324342966079712,0.9999765753746033,0.5473997592926025,0.22388985753059387,-0.33244648575782776,0.99997878074646,0.5518117547035217,0.223797008395195,-0.33246222138404846,0.9999793767929077,0.532088577747345,0.2245791256427765,-0.3226519823074341,0.9999775290489197,0.5291628241539001,0.22479137778282166,-0.32267534732818604,0.9999762773513794,0.5262103080749512,0.2251422256231308,-0.32268592715263367,0.9999727010726929,0.5609820485115051,0.22838594019412994,-0.2583911418914795,0.9999659657478333,0.5272152423858643,0.2308247685432434,-0.2095676213502884,0.9999309778213501,0.5453091859817505,0.2453429400920868,-0.30765941739082336,0.9999920129776001,0.5325940847396851,0.24526053667068481,-0.29454296827316284,0.9999873042106628,0.606330156326294,0.2988758683204651,-0.20317043364048004,0.9999838471412659,0.505873441696167,0.30018895864486694,-0.0997811108827591,0.9999657273292542,0.6226244568824768,0.37748605012893677,-0.16190879046916962,0.988952100276947,0.4938066601753235,0.37309059500694275,-0.023239223286509514,0.9330342411994934,0.6296970844268799,0.45177000761032104,-0.21563030779361725,0.9849748015403748,0.47938790917396545,0.444280743598938,-0.09778989851474762,0.9391416907310486,0.6326277256011963,0.46991389989852905,-0.2419050931930542,0.9656214118003845,0.4723565876483917,0.46198758482933044,-0.11661048978567123,0.8996397852897644,0.62668776512146,0.4696474075317383,-0.27599021792411804,0.9691574573516846,0.4746829867362976,0.4630855917930603,-0.15775343775749207,0.9059961438179016,0.6233799457550049,0.4627607762813568,-0.22856438159942627,0.9615961909294128,0.4807320535182953,0.4573034644126892,-0.1163048967719078,0.8937689661979675,0.5840439796447754,0.4386388063430786,-0.033076122403144836,0.9997974038124084,0.5273460149765015,0.4364769458770752,0.033010829240083694,0.9997822046279907,0.5898793935775757,0.5429913401603699,-0.04625234007835388,0.9942653775215149,0.5183181166648865,0.5430362820625305,0.08120322972536087,0.9955333471298218,0.5974090695381165,0.6449024677276611,0.06028947979211807,0.9964666962623596,0.5140613913536072,0.6394085884094238,0.25135770440101624,0.9963330626487732,0.5977518558502197,0.6583507657051086,0.06097818538546562,0.9362719058990479,0.5239521861076355,0.6524767279624939,0.2598702609539032,0.9373452067375183,0.5894092321395874,0.6786165833473206,-0.07982364296913147,0.9940465688705444,0.4845459461212158,0.6633936762809753,0.15094119310379028,0.9940255880355835
